formal,informal
لطفاً شماره تماس اضطراری را وارد کنید,شماره تماس اضطراری رو بده
آیا می‌خواهید این فایل را ذخیره کنید؟,می‌خوای این فایل رو ذخیره کنی؟
من این پیام را دریافت کردم,این پیامو گرفتم
لطفاً فرم تماس را پر کنید,فرم تماس رو پر کن
آیا می‌توانید این فایل را ارسال کنید؟,می‌تونی این فایل رو بفرستی؟
من در حال آماده‌سازی مدارک هستم,دارم مدارک رو آماده می‌کنم
لطفاً اسناد را امضا کنید,اسناد رو امضا کن
آیا می‌خواهید ادامه دهید؟,می‌خوای ادامه بدی؟
این نرم‌افزار نیاز به نصب مجدد دارد,این نرم‌افزار باید دوباره نصب شه
لطفاً رمز عبور فعلی خود را وارد کنید,رمز فعلیت رو بده
آیا می‌خواهید تنظیمات را بازیابی کنید؟,می‌خوای تنظیمات رو برگردونی؟
لطفاً فایل ضمیمه را بررسی کنید,فایل پیوست رو چک کن
آیا می‌توانید این پیام را ویرایش کنید؟,می‌تونی این پیامو ویرایش کنی؟
من این اطلاعات را به‌روزرسانی کردم,این اطلاعاتو آپدیت کردم
لطفاً نام کاربری خود را وارد کنید,نام کاربریت رو بده
آیا می‌خواهید این برنامه را نصب کنید؟,می‌خوای این برنامه رو نصب کنی؟
من این گزارش را ذخیره کردم,این گزارشو ذخیره کردم
لطفاً شماره تماس اضطراری خود را وارد کنید,شماره اضطراری‌تو بده
آیا می‌توانید این اسناد را بارگذاری کنید؟,می‌تونی این اسنادو آپلود کنی؟
من در حال بررسی اسناد هستم,دارم اسنادو بررسی می‌کنم
لطفاً به من بگویید که چه زمانی حاضر هستید,بگو کی حاضری
آیا می‌خواهید این فایل را چاپ کنید؟,می‌خوای این فایل رو چاپ کنی؟
من این فرم را تکمیل کردم,این فرم رو کامل کردم
لطفاً رمز عبور جدید خود را وارد کنید,رمز جدیدتو بده
آیا می‌توانید این حساب کاربری را حذف کنید؟,می‌تونی این حسابو پاک کنی؟
من این پیام را ارسال کردم,این پیامو فرستادم
لطفاً شماره کارت اعتباری خود را وارد کنید,شماره کارت اعتباری‌تو بده
آیا می‌خواهید این تماس را برقرار کنید؟,می‌خوای این تماس رو بگیری؟
من این درخواست را تایید کردم,این درخواستو تایید کردم
لطفاً فایل‌های مورد نیاز را بارگذاری کنید,فایل‌های لازم رو آپلود کن
آیا می‌توانید این پروژه را به تعویق بیندازید؟,می‌تونی این پروژه رو عقب بندازی؟
من این گزارش را بازبینی کردم,این گزارشو بازبینی کردم
لطفاً اطلاعات حساب خود را به‌روزرسانی کنید,اطلاعات حسابتو آپدیت کن
آیا می‌خواهید این پیام را خوانده شده علامت بزنید؟,می‌خوای این پیامو خونده شده بزنی؟
من این اسناد را امضا کردم,این اسنادو امضا کردم
لطفاً به من بگویید که چه کاری باید انجام دهم,بگو چی کار کنم
آیا می‌توانید این قرارداد را امضا کنید؟,می‌تونی این قراردادو امضا کنی؟
من این فایل را حذف کردم,این فایل رو پاک کردم
لطفاً شماره تلفن همراه خود را وارد کنید,شماره موبایلت رو بده
آیا می‌خواهید این پیام را به اشتراک بگذارید؟,می‌خوای این پیامو شیر کنی؟
من در حال بارگذاری فایل هستم,دارم فایل آپلود می‌کنم
لطفاً این گزارش را بررسی کنید,این گزارشو چک کن
آیا می‌توانید این فرم را پر کنید؟,می‌تونی این فرم رو پر کنی؟
من این پیام را تایید کردم,این پیامو تایید کردم
لطفاً شماره حساب بانکی خود را وارد کنید,شماره حساب بانکی‌تو بده
آیا می‌خواهید این عکس را حذف کنید؟,می‌خوای این عکس رو پاک کنی؟
من این اعلان را خواندم,این اعلان رو خوندم
لطفاً اطلاعات تماس خود را تایید کنید,اطلاعات تماستو تایید کن
آیا می‌توانید این گزارش را دانلود کنید؟,می‌تونی این گزارشو دانلود کنی؟
من در حال ارسال درخواست هستم,دارم درخواست می‌فرستم
لطفاً شماره گذرنامه خود را وارد کنید,شماره گذرنامه‌تو بده
آیا می‌خواهید این فایل را به‌روزرسانی کنید؟,می‌خوای این فایل رو آپدیت کنی؟
من این فرم را امضا کردم,این فرم رو امضا کردم
لطفاً به من اطلاع دهید که چه زمانی می‌توانم تماس بگیرم,بگو کی می‌تونم تماس بگیرم
آیا می‌توانید این پیام را حذف کنید؟,می‌تونی این پیامو پاک کنی؟
من این گزارش را ارسال کردم,این گزارشو فرستادم
لطفاً شماره شناسنامه خود را وارد کنید,شماره شناسنامه‌تو بده
آیا می‌خواهید این فایل را بارگذاری کنید؟,می‌خوای این فایل رو آپلود کنی؟
من در حال بررسی حساب کاربری هستم,دارم حساب کاربری رو چک می‌کنم
لطفاً اطلاعات ثبت‌نام خود را وارد کنید,اطلاعات ثبت‌نامتو بده
آیا می‌توانید این پروژه را لغو کنید؟,می‌تونی این پروژه رو کنسل کنی؟
من این درخواست را قبول کردم,این درخواستو قبول کردم
لطفاً شماره تلفن ثابت خود را وارد کنید,شماره تلفن خونگی‌تو بده
آیا می‌خواهید این اعلان را پاک کنید؟,می‌خوای این اعلان رو پاک کنی؟
من این ایمیل را دریافت کردم,این ایمیلو گرفتم
لطفاً شماره تماس اضطراری جدید را وارد کنید,شماره اضطراری جدیدتو بده
آیا می‌توانید این فایل را باز کنید؟,می‌تونی این فایل رو باز کنی؟
من این گزارش را بازبینی کردم,این گزارشو بازبینی کردم
لطفاً به من بگویید که چه کسی مسئول است,بگو کی مسئوله
آیا می‌خواهید این پیام را پاسخ دهید؟,می‌خوای این پیامو جواب بدی؟
من این درخواست را رد کردم,این درخواستو رد کردم
لطفاً شماره کارت شناسایی خود را وارد کنید,شماره کارت شناساییت رو بده
آیا می‌توانید این اطلاعات را حذف کنید؟,می‌تونی این اطلاعاتو پاک کنی؟
من این فایل را دانلود کردم,این فایل رو دانلود کردم
لطفاً اطلاعات مالی خود را وارد کنید,اطلاعات مالی‌تو بده
آیا می‌خواهید این گزارش را به اشتراک بگذارید؟,می‌خوای این گزارشو شیر کنی؟
من این فرم را تکمیل کردم,این فرم رو کامل کردم
لطفاً شماره تماس خود را تایید کنید,شماره تماستو تایید کن
آیا می‌توانید این پیام را کپی کنید؟,می‌تونی این پیامو کپی کنی؟
من این سند را باز کردم,این سند رو باز کردم
لطفاً به من بگویید که چه زمانی جلسه شروع می‌شود,بگو جلسه کی شروع می‌شه
آیا می‌خواهید این فایل را چاپ کنید؟,می‌خوای این فایل رو چاپ کنی؟
من این پیام را خواندم,این پیامو خوندم
لطفاً شماره کارت اعتباری جدید را وارد کنید,شماره کارت اعتباری جدیدتو بده
آیا می‌توانید این فایل را ذخیره کنید؟,می‌تونی این فایل رو ذخیره کنی؟
من در حال بررسی ایمیل هستم,دارم ایمیل رو چک می‌کنم
لطفاً اطلاعات مربوط به سفر خود را وارد کنید,اطلاعات سفرتو بده
آیا می‌خواهید این اعلان را مشاهده کنید؟,می‌خوای این اعلان رو ببینی؟
من این پیام را ارسال کردم,این پیامو فرستادم
لطفاً شماره تماس مدیر را وارد کنید,شماره تماس مدیر رو بده
آیا می‌توانید این فایل را دانلود کنید؟,می‌تونی این فایل رو دانلود کنی؟
من این گزارش را تایید کردم,این گزارشو تایید کردم
لطفاً فرم عضویت را پر کنید,فرم عضویت رو پر کن
آیا می‌خواهید این ایمیل را پاسخ دهید؟,می‌خوای این ایمیل رو جواب بدی؟
من این اعلان را خواندم,این اعلان رو خوندم
لطفاً شماره تلفن خود را به‌روزرسانی کنید,شماره تلفن رو آپدیت کن
آیا می‌توانید این پروژه را شروع کنید؟,می‌تونی این پروژه رو شروع کنی؟
من این فایل را ذخیره کردم,این فایل رو ذخیره کردم
لطفاً اطلاعات تماس خود را وارد کنید,اطلاعات تماس‌تو بده
آیا می‌خواهید این پیام را پاک کنید؟,می‌خوای این پیامو پاک کنی؟
من این درخواست را ارسال کردم,این درخواستو فرستادم
لطفاً شماره گذرنامه خود را به‌روزرسانی کنید,شماره گذرنامه رو آپدیت کن
آیا می‌توانید این فرم را امضا کنید؟,می‌تونی این فرم رو امضا کنی؟
من در حال ارسال پیام هستم,دارم پیام می‌فرستم
لطفاً به من اطلاع دهید اگر سوالی دارید,اگه سوالی داشتی خبرم کن
آیا می‌خواهید این حساب را فعال کنید؟,می‌خوای این حسابو فعال کنی؟
من این پیام را دریافت کردم,این پیامو گرفتم
لطفاً شماره سفارش خود را وارد کنید,شماره سفارش‌تو بده
آیا می‌توانید این فایل را باز کنید؟,می‌تونی این فایل رو باز کنی؟
من این گزارش را بررسی کردم,این گزارشو چک کردم
لطفاً فرم درخواست را پر کنید,فرم درخواست رو پر کن
آیا می‌خواهید این پیام را به‌روزرسانی کنید؟,می‌خوای این پیامو آپدیت کنی؟
من این ایمیل را فرستادم,این ایمیلو فرستادم
لطفاً شماره کارت بانکی خود را وارد کنید,شماره کارت بانکی‌تو بده
آیا می‌توانید این فایل را ارسال کنید؟,می‌تونی این فایل رو بفرستی؟
من در حال آماده‌سازی مدارک هستم,دارم مدارک رو آماده می‌کنم
لطفاً اسناد را بررسی کنید,اسناد رو چک کن
آیا می‌خواهید ادامه دهید؟,می‌خوای ادامه بدی؟
این نرم‌افزار نیاز به به‌روزرسانی دارد,این نرم‌افزار باید آپدیت شه
لطفاً شماره پلاک ماشین را وارد کنید,پلاک ماشین رو بده
آیا می‌توانید سرعت را افزایش دهید؟,می‌تونی سرعتو زیاد کنی؟
لطفاً رمز عبور را فراموش نکنید,پسوردتو یادت نره
آیا می‌خواهید اعلان‌ها را فعال کنید؟,می‌خوای اعلانارو روشن کنی؟
لطفاً ایمیل پشتیبانی را وارد کنید,ایمیل پشتیبانی رو بده
آیا می‌توانید این فایل را دوباره ارسال کنید؟,می‌تونی این فایل رو دوباره بفرستی؟
لطفاً مدل دستگاه را انتخاب کنید,مدل دستگاهو انتخاب کن
آیا می‌خواهید برنامه را حذف کنید؟,می‌خوای برنامه رو پاک کنی؟
لطفاً محل سکونت خود را تایید کنید,محل زندگیتو تایید کن
آیا می‌توانید سرعت اینترنت را بررسی کنید؟,می‌تونی سرعت اینترنتو چک کنی؟
لطفاً شماره اشتراک را وارد کنید,شماره اشتراک رو بده
آیا می‌خواهید این پیام را به مخاطبین ارسال کنید؟,می‌خوای این پیامو به مخاطبا بفرستی؟
لطفاً تاریخ رزرو خود را انتخاب کنید,تاریخ رزروتو انتخاب کن
آیا می‌توانید این عکس را ویرایش کنید؟,می‌تونی این عکسو ویرایش کنی؟
لطفاً شماره تماس پشتیبانی را وارد کنید,شماره پشتیبانی رو بده
آیا می‌خواهید رمز عبور را بازیابی کنید؟,می‌خوای پسوردتو بازیابی کنی؟
لطفاً شماره پرواز خود را وارد کنید,شماره پروازتو بده
آیا می‌توانید این فیلم را دانلود کنید؟,می‌تونی این فیلمو دانلود کنی؟
لطفاً کد تخفیف را وارد کنید,کد تخفیف رو بده
آیا می‌خواهید این صفحه را ذخیره کنید؟,می‌خوای این صفحه رو ذخیره کنی؟
لطفاً مشخصات کارت خود را وارد کنید,مشخصات کارتتو بده
آیا می‌توانید این فایل را رمزگذاری کنید؟,می‌تونی این فایل رو رمزگذاری کنی؟
لطفاً شماره حساب بانکی خود را وارد کنید,شماره حساب بانکی‌تو بده
آیا می‌خواهید اطلاعات حساب خود را به‌روزرسانی کنید؟,می‌خوای اطلاعات حسابتو آپدیت کنی؟
لطفاً شناسه کاربری خود را وارد کنید,آیدی کاربریتو بده
آیا می‌توانید این پیام را به‌روزرسانی کنید؟,می‌تونی این پیامو آپدیت کنی؟
لطفاً این صفحه را رفرش کنید,این صفحه رو رفرش کن
آیا می‌خواهید تماس را برقرار کنید؟,می‌خوای تماس بگیری؟
لطفاً گذرنامه خود را ارائه دهید,گذرنامه‌تو بده
آیا می‌توانید اطلاعات تماس خود را تغییر دهید؟,می‌تونی اطلاعات تماستو عوض کنی؟
لطفاً وضعیت سفارش خود را بررسی کنید,وضعیت سفارشتو چک کن
آیا می‌خواهید این پیام را به اشتراک بگذارید؟,می‌خوای این پیامو شیر کنی؟
لطفاً این فایل را بارگذاری کنید,این فایل رو آپلود کن
آیا می‌توانید شماره تلفن خود را تایید کنید؟,می‌تونی شماره تماستو تایید کنی؟
لطفاً این گزینه را انتخاب کنید,این گزینه رو انتخاب کن
آیا می‌خواهید حالت پرواز را فعال کنید؟,می‌خوای حالت پروازو روشن کنی؟
لطفاً شماره کارت هدیه را وارد کنید,شماره کارت هدیه رو بده
آیا می‌توانید این پیام را باز کنید؟,می‌تونی این پیامو باز کنی؟
لطفاً فایل پیوست را بررسی کنید,فایل پیوستو چک کن
آیا می‌خواهید این ایمیل را ارسال کنید؟,می‌خوای این ایمیلو بفرستی؟
لطفاً شماره گواهینامه خود را وارد کنید,شماره گواهینامتو بده
آیا می‌توانید اطلاعات را ذخیره کنید؟,می‌تونی اطلاعاتو ذخیره کنی؟
لطفاً ساعت تحویل را مشخص کنید,ساعت تحویلو بگو
آیا می‌خواهید این برنامه را به‌روزرسانی کنید؟,می‌خوای این برنامه رو آپدیت کنی؟
لطفاً رمز عبور جدید را وارد کنید,پسورد جدیدو بده
آیا می‌توانید وضعیت پرواز را بررسی کنید؟,می‌تونی وضعیت پروازو چک کنی؟
لطفاً تاریخ انقضا کارت را وارد کنید,تاریخ انقضای کارت رو بده
آیا می‌خواهید پیام‌ها را حذف کنید؟,می‌خوای پیامارو پاک کنی؟
لطفاً شماره اشتراک خود را وارد کنید,شماره اشتراکتو بده
آیا می‌توانید این فایل را به اشتراک بگذارید؟,می‌تونی این فایل رو شیر کنی؟
لطفاً حساب کاربری خود را فعال کنید,حساب کاربریتو فعال کن
آیا می‌خواهید این پیام را آرشیو کنید؟,می‌خوای این پیامو آرشیو کنی؟
لطفاً شماره تلفن همراه خود را وارد کنید,شماره موبایلتو بده
آیا می‌توانید این ویدئو را پخش کنید؟,می‌تونی این ویدئو رو پخش کنی؟
لطفاً کد امنیتی را وارد کنید,کد امنیتیو بده
آیا می‌خواهید این تماس را رد کنید؟,می‌خوای این تماسو رد کنی؟
لطفاً شماره شناسنامه خود را وارد کنید,شماره شناسنامه‌تو بده
آیا می‌توانید وضعیت سفارش را بررسی کنید؟,می‌تونی وضعیت سفارشو چک کنی؟
لطفاً شماره کارت بانکی خود را تایید کنید,شماره کارت بانکی‌تو تایید کن
آیا می‌خواهید این پیام را ارسال کنید؟,می‌خوای این پیامو بفرستی؟
لطفاً نام و نام خانوادگی خود را وارد کنید,اسم و فامیلتو بده
آیا می‌توانید این فایل را دانلود کنید؟,می‌تونی این فایل رو دانلود کنی؟
لطفاً شماره تلفن خود را وارد کنید,شماره تلفنتو بده
آیا می‌خواهید این صفحه را بستنید؟,می‌خوای این صفحه رو ببندی؟
لطفاً کد پستی خود را وارد کنید,کد پستی رو بده
آیا می‌توانید این فرم را پر کنید؟,می‌تونی این فرم رو پر کنی؟
لطفاً آدرس ایمیل خود را وارد کنید,آدرس ایمیلتو بده
آیا می‌خواهید این حساب را حذف کنید؟,می‌خوای این حسابو پاک کنی؟
لطفاً شماره موبایل خود را تایید کنید,شماره موبایلتو تایید کن
آیا می‌توانید این پیام را باز کنید؟,می‌تونی این پیامو باز کنی؟
لطفاً شماره تماس اضطراری را وارد کنید,شماره اضطراری رو بده
آیا می‌خواهید این برنامه را نصب کنید؟,می‌خوای این برنامه رو نصب کنی؟
لطفاً اطلاعات کارت اعتباری خود را وارد کنید,اطلاعات کارت اعتباری‌تو بده
آیا می‌توانید این پیام را حذف کنید؟,می‌تونی این پیامو پاک کنی؟
لطفاً نام کاربری خود را وارد کنید,نام کاربریت رو بده
آیا می‌خواهید این فایل را بارگذاری کنید؟,می‌خوای این فایل رو آپلود کنی؟
لطفاً شماره تماس خود را وارد کنید,شماره تماستو بده
آیا می‌توانید این فایل را باز کنید؟,می‌تونی این فایل رو باز کنی؟
لطفاً اطلاعات تماس خود را به‌روزرسانی کنید,اطلاعات تماس رو آپدیت کن
آیا می‌خواهید این صفحه را ذخیره کنید؟,می‌خوای این صفحه رو ذخیره کنی؟
لطفاً گذرنامه خود را ارائه دهید,گذرنامه‌تو بده
آیا می‌توانید این پیام را ویرایش کنید؟,می‌تونی این پیامو ویرایش کنی؟
لطفاً شماره سفارش خود را وارد کنید,شماره سفارش‌تو بده
آیا می‌خواهید این پیام را خوانده و پاسخ دهید؟,می‌خوای این پیامو بخونی و جواب بدی؟
لطفاً اطلاعات سفر خود را وارد کنید,اطلاعات سفرتو بده
آیا می‌توانید این فایل را چاپ کنید؟,می‌تونی این فایل رو چاپ کنی؟
لطفاً شماره کارت هدیه خود را وارد کنید,شماره کارت هدیه‌تو بده
آیا می‌خواهید این پیام را ذخیره کنید؟,می‌خوای این پیامو ذخیره کنی؟
لطفاً مشخصات خود را وارد کنید,مشخصاتو بده
آیا می‌توانید این پیام را به اشتراک بگذارید؟,می‌تونی این پیامو شیر کنی؟
لطفاً شماره کارت بانکی خود را وارد کنید,شماره کارت بانکی‌تو بده
آیا می‌خواهید این فرم را امضا کنید؟,می‌خوای این فرم رو امضا کنی؟
لطفاً شماره تلفن خود را تایید کنید,شماره تلفنتو تایید کن
آیا می‌توانید این پیام را ارسال کنید؟,می‌تونی این پیامو بفرستی؟
لطفاً این صفحه را رفرش کنید,این صفحه رو رفرش کن
آیا می‌خواهید تماس را برقرار کنید؟,می‌خوای تماس بگیری؟
لطفاً گذرواژه خود را تغییر دهید,پسوردتو تغییر بده
آیا می‌توانید وضعیت حساب خود را بررسی کنید؟,می‌تونی حسابتو چک کنی؟
لطفاً شماره کارت اعتباری خود را وارد کنید,شماره کارت اعتباری‌تو بده
آیا می‌خواهید این فایل را بارگذاری کنید؟,می‌خوای این فایل رو آپلود کنی؟
لطفاً کد تایید را وارد کنید,کد تایید رو بده
آیا می‌توانید این پیام را باز کنید؟,می‌تونی این پیامو باز کنی؟
لطفاً نام و نام خانوادگی خود را وارد کنید,اسم و فامیلتو بده
آیا می‌خواهید این حساب را فعال کنید؟,می‌خوای این حسابو فعال کنی؟
لطفاً شماره ملی خود را وارد کنید,شماره ملی‌تو بده
آیا می‌توانید این پیام را حذف کنید؟,می‌تونی این پیامو پاک کنی؟
لطفاً شماره کارت بانکی خود را تایید کنید,شماره کارت بانکی‌تو تایید کن
آیا می‌خواهید این فایل را دانلود کنید؟,می‌خوای این فایل رو دانلود کنی؟
لطفاً شماره موبایل خود را وارد کنید,شماره موبایلتو بده
آیا می‌توانید این فرم را پر کنید؟,می‌تونی این فرم رو پر کنی؟
لطفاً آدرس پستی خود را وارد کنید,آدرس پستی‌تو بده
آیا می‌خواهید این پیام را آرشیو کنید؟,می‌خوای این پیامو آرشیو کنی؟
لطفاً شماره تماس اضطراری را وارد کنید,شماره اضطراری رو بده
آیا می‌توانید این فایل را ارسال کنید؟,می‌تونی این فایل رو بفرستی؟
لطفاً گذرنامه خود را تایید کنید,گذرنامه‌تو تایید کن
آیا می‌خواهید این پیام را بخوانید؟,می‌خوای این پیامو بخونی؟
لطفاً شماره سفارش خود را تایید کنید,شماره سفارش‌تو تایید کن
آیا می‌توانید این عکس را ارسال کنید؟,می‌تونی این عکسو بفرستی؟
لطفاً رمز عبور فعلی خود را وارد کنید,پسورد فعلیتو بده
آیا می‌خواهید این صفحه را ببندید؟,می‌خوای این صفحه رو ببندی؟
لطفاً اطلاعات کارت اعتباری خود را تایید کنید,اطلاعات کارت اعتباری‌تو تایید کن
آیا می‌توانید شماره تماس خود را تغییر دهید؟,می‌تونی شماره تماستو عوض کنی؟
لطفاً شماره کارت هدیه خود را تایید کنید,شماره کارت هدیه‌تو تایید کن
آیا می‌خواهید این حساب را غیرفعال کنید؟,می‌خوای این حسابو غیرفعال کنی؟
لطفاً شماره تلفن خود را به‌روزرسانی کنید,شماره تلفنتو آپدیت کن
آیا می‌توانید این پیام را بخوانید؟,می‌تونی این پیامو بخونی؟
لطفاً شماره تماس پشتیبانی را وارد کنید,شماره پشتیبانی رو بده
لطفاً نام شرکت را وارد کنید,اسم شرکت رو بده
آیا می‌توانید این سند را امضا کنید؟,می‌تونی این سندو امضا کنی؟
لطفاً کد ملی را تایید کنید,کد ملی رو تایید کن
آیا می‌خواهید این پروژه را شروع کنید؟,می‌خوای این پروژه رو شروع کنی؟
لطفاً میزان پرداخت را وارد کنید,میزان پرداختو بده
آیا می‌توانید این پیام را فوروارد کنید؟,می‌تونی این پیامو فوروارد کنی؟
لطفاً شماره کارت بانکی خود را وارد کنید,شماره کارت بانکیتو بده
آیا می‌خواهید این فایل را پاک کنید؟,می‌خوای این فایل رو پاک کنی؟
لطفاً شماره تماس خود را وارد کنید,شماره تماستو بده
آیا می‌توانید این صفحه را رفرش کنید؟,می‌تونی این صفحه رو رفرش کنی؟
لطفاً تاریخ انقضای کارت را وارد کنید,تاریخ انقضای کارت رو بده
آیا می‌خواهید این پیام را ذخیره کنید؟,می‌خوای این پیامو ذخیره کنی؟
لطفاً اطلاعات حساب خود را به‌روزرسانی کنید,اطلاعات حسابتو آپدیت کن
آیا می‌توانید رمز عبور را تغییر دهید؟,می‌تونی پسوردتو تغییر بدی؟
لطفاً شماره پرواز خود را وارد کنید,شماره پروازتو بده
آیا می‌خواهید این برنامه را نصب کنید؟,می‌خوای این برنامه رو نصب کنی؟
لطفاً کد تایید را وارد کنید,کد تایید رو بده
آیا می‌توانید این عکس را ویرایش کنید؟,می‌تونی این عکسو ویرایش کنی؟
لطفاً شماره سفارش خود را وارد کنید,شماره سفارشتو بده
آیا می‌خواهید این تماس را رد کنید؟,می‌خوای این تماسو رد کنی؟
لطفاً نام و نام خانوادگی خود را وارد کنید,اسم و فامیلتو بده
آیا می‌توانید این فایل را بارگذاری کنید؟,می‌تونی این فایل رو آپلود کنی؟
لطفاً شماره تماس اضطراری را وارد کنید,شماره اضطراری رو بده
آیا می‌خواهید این صفحه را ذخیره کنید؟,می‌خوای این صفحه رو ذخیره کنی؟
لطفاً شماره موبایل خود را تایید کنید,شماره موبایلتو تایید کن
آیا می‌توانید این پیام را باز کنید؟,می‌تونی این پیامو باز کنی؟
لطفاً کد پستی خود را وارد کنید,کد پستی رو بده
آیا می‌خواهید این حساب را فعال کنید؟,می‌خوای این حسابو فعال کنی؟
لطفاً آدرس ایمیل خود را وارد کنید,آدرس ایمیلتو بده
آیا می‌توانید این فرم را پر کنید؟,می‌تونی این فرم رو پر کنی؟
لطفاً گذرنامه خود را ارائه دهید,گذرنامه‌تو بده
آیا می‌خواهید پیام‌ها را حذف کنید؟,می‌خوای پیامارو پاک کنی؟
لطفاً شماره کارت هدیه را وارد کنید,شماره کارت هدیه رو بده
آیا می‌توانید وضعیت سفارش را بررسی کنید؟,می‌تونی وضعیت سفارشو چک کنی؟
لطفاً نام کاربری خود را وارد کنید,نام کاربریت رو بده
آیا می‌خواهید این پیام را به اشتراک بگذارید؟,می‌خوای این پیامو شیر کنی؟
لطفاً شماره شناسنامه خود را وارد کنید,شماره شناسنامه‌تو بده
آیا می‌توانید این ویدئو را پخش کنید؟,می‌تونی این ویدئو رو پخش کنی؟
لطفاً شماره کارت اعتباری خود را وارد کنید,شماره کارت اعتباری‌تو بده
آیا می‌خواهید این فایل را رمزگذاری کنید؟,می‌خوای این فایل رو رمزگذاری کنی؟
لطفاً اطلاعات تماس خود را به‌روزرسانی کنید,اطلاعات تماس رو آپدیت کن
آیا می‌توانید این پیام را خوانده و پاسخ دهید؟,می‌تونی این پیامو بخونی و جواب بدی؟
لطفاً شماره کارت بانکی خود را تایید کنید,شماره کارت بانکی‌تو تایید کن
آیا می‌خواهید این فرم را امضا کنید؟,می‌خوای این فرم رو امضا کنی؟
لطفاً شماره تلفن خود را وارد کنید,شماره تلفنتو بده
آیا می‌توانید این پیام را حذف کنید؟,می‌تونی این پیامو پاک کنی؟
لطفاً شماره سفارش خود را تایید کنید,شماره سفارش‌تو تایید کن
آیا می‌خواهید این صفحه را ببندید؟,می‌خوای این صفحه رو ببندی؟
لطفاً شماره موبایل خود را وارد کنید,شماره موبایلتو بده
آیا می‌توانید اطلاعات حساب خود را بررسی کنید؟,می‌تونی اطلاعات حسابتو چک کنی؟
لطفاً رمز عبور جدید را وارد کنید,پسورد جدیدو بده
آیا می‌خواهید این پیام را فوروارد کنید؟,می‌خوای این پیامو فوروارد کنی؟
لطفاً شماره تماس پشتیبانی را وارد کنید,شماره پشتیبانی رو بده
آیا می‌توانید این فایل را دانلود کنید؟,می‌تونی این فایل رو دانلود کنی؟
لطفاً نام و نام خانوادگی خود را تایید کنید,اسم و فامیلتو تایید کن
آیا می‌خواهید این حساب را غیرفعال کنید؟,می‌خوای این حسابو غیرفعال کنی؟
لطفاً شماره کارت اعتباری خود را تایید کنید,شماره کارت اعتباری‌تو تایید کن
آیا می‌توانید این پیام را ارسال کنید؟,می‌تونی این پیامو بفرستی؟
لطفاً شماره ملی خود را وارد کنید,شماره ملی‌تو بده
آیا می‌خواهید این برنامه را به‌روزرسانی کنید؟,می‌خوای این برنامه رو آپدیت کنی؟
لطفاً شماره تماس خود را تایید کنید,شماره تماستو تایید کن
آیا می‌توانید این فایل را به اشتراک بگذارید؟,می‌تونی این فایل رو شیر کنی؟
لطفاً گذرواژه خود را تغییر دهید,پسوردتو تغییر بده
آیا می‌خواهید این پیام را ذخیره کنید؟,می‌خوای این پیامو ذخیره کنی؟
لطفاً شماره کارت هدیه خود را تایید کنید,شماره کارت هدیه‌تو تایید کن
آیا می‌توانید این صفحه را رفرش کنید؟,می‌تونی این صفحه رو رفرش کنی؟
لطفاً اطلاعات سفر خود را وارد کنید,اطلاعات سفرتو بده
آیا می‌خواهید این پیام را باز کنید؟,می‌خوای این پیامو باز کنی؟
لطفاً شماره سفارش خود را وارد کنید,شماره سفارشتو بده
آیا می‌توانید این تماس را برقرار کنید؟,می‌تونی این تماسو بگیری؟
لطفاً گذرنامه خود را تایید کنید,گذرنامه‌تو تایید کن
آیا می‌خواهید این صفحه را رفرش کنید؟,می‌خوای این صفحه رو رفرش کنی؟
لطفاً شماره کارت بانکی خود را وارد کنید,شماره کارت بانکیتو بده
آیا می‌توانید این پیام را ویرایش کنید؟,می‌تونی این پیامو ویرایش کنی؟
لطفاً شماره موبایل خود را تایید کنید,شماره موبایلتو تایید کن
آیا می‌خواهید این فرم را امضا کنید؟,می‌خوای این فرم رو امضا کنی؟
لطفاً شماره تلفن خود را وارد کنید,شماره تلفنتو بده
آیا می‌توانید این پیام را باز کنید؟,می‌تونی این پیامو باز کنی؟
لطفاً اطلاعات کارت اعتباری خود را وارد کنید,اطلاعات کارت اعتباری‌تو بده
آیا می‌خواهید این حساب را فعال کنید؟,می‌خوای این حسابو فعال کنی؟
لطفاً شماره تماس اضطراری را وارد کنید,شماره اضطراری رو بده
آیا می‌توانید این فایل را بارگذاری کنید؟,می‌تونی این فایل رو آپلود کنی؟
لطفاً کد امنیتی را وارد کنید,کد امنیتیو بده
آیا می‌خواهید این پیام را حذف کنید؟,می‌خوای این پیامو پاک کنی؟
لطفاً شماره تماس خود را وارد کنید,شماره تماستو بده
آیا می‌توانید این پیام را فوروارد کنید؟,می‌تونی این پیامو فوروارد کنی؟
لطفاً گذرنامه خود را ارائه دهید,گذرنامه‌تو بده
آیا می‌خواهید این فایل را چاپ کنید؟,می‌خوای این فایل رو چاپ کنی؟
لطفاً شماره کارت هدیه را وارد کنید,شماره کارت هدیه رو بده
آیا می‌توانید این صفحه را ذخیره کنید؟,می‌تونی این صفحه رو ذخیره کنی؟
لطفاً نام کاربری خود را وارد کنید,نام کاربریت رو بده
آیا می‌خواهید این پیام را ارسال کنید؟,می‌خوای این پیامو بفرستی؟
لطفاً شماره موبایل خود را وارد کنید,شماره موبایلتو بده
آیا می‌توانید این پیام را باز کنید؟,می‌تونی این پیامو باز کنی؟
